,Link
98,https://www.unair.ac.id/dosen-unair-dorong-percepatan-kastrasi-jantan-untuk-tekan-populasi-kucing-liar/
99,https://www.unair.ac.id/dosen-unair-dorong-percepatan-kastrasi-jantan-untuk-tekan-populasi-kucing-liar/
100,https://www.unair.ac.id/category/pakar/
101,https://www.unair.ac.id/category/kampus-merdeka/
102,https://www.unair.ac.id/dua-mahasiswa-perikanan-unair-ikuti-summer-school-di-hiroshima-university/
103,https://www.unair.ac.id/dua-mahasiswa-perikanan-unair-ikuti-summer-school-di-hiroshima-university/
104,https://www.unair.ac.id/dua-mahasiswa-perikanan-unair-ikuti-summer-school-di-hiroshima-university/
105,https://www.unair.ac.id/sambut-pertukaran-mahasiswa-rektor-unair-pulang-harus-jadi-orang-hebat/
106,https://www.unair.ac.id/sambut-pertukaran-mahasiswa-rektor-unair-pulang-harus-jadi-orang-hebat/
107,https://www.unair.ac.id/sambut-pertukaran-mahasiswa-rektor-unair-pulang-harus-jadi-orang-hebat/
108,https://www.unair.ac.id/category/kampus-merdeka/
109,https://www.unair.ac.id/category/prestasi/
110,https://www.unair.ac.id/mawapres-fk-unair-sebulan-borong-4-gelar-juara/
111,https://www.unair.ac.id/mawapres-fk-unair-sebulan-borong-4-gelar-juara/
112,https://www.unair.ac.id/mawapres-fk-unair-sebulan-borong-4-gelar-juara/
113,https://www.unair.ac.id/mahasiswa-ilmu-sejarah-unair-dinobatkan-sebagai-putri-pariwisata-kalimantan-timur-2022/
114,https://www.unair.ac.id/mahasiswa-ilmu-sejarah-unair-dinobatkan-sebagai-putri-pariwisata-kalimantan-timur-2022/
115,https://www.unair.ac.id/mahasiswa-ilmu-sejarah-unair-dinobatkan-sebagai-putri-pariwisata-kalimantan-timur-2022/
116,https://www.unair.ac.id/kajian-sejarah-pers-indonesia-bawa-mahasiswa-fib-sabet-juara-3-lktin-di-ui/
117,https://www.unair.ac.id/kajian-sejarah-pers-indonesia-bawa-mahasiswa-fib-sabet-juara-3-lktin-di-ui/
118,https://www.unair.ac.id/kajian-sejarah-pers-indonesia-bawa-mahasiswa-fib-sabet-juara-3-lktin-di-ui/
119,https://www.unair.ac.id/category/prestasi/
120,https://www.unair.ac.id/category/inovasi/
121,https://www.unair.ac.id/mahasiswa-farmasi-unair-cetuskan-ide-pengobatan-kanker-payudara-berbasis-daun-pepaya/
122,https://www.unair.ac.id/mahasiswa-farmasi-unair-cetuskan-ide-pengobatan-kanker-payudara-berbasis-daun-pepaya/
123,https://www.unair.ac.id/mahasiswa-farmasi-unair-cetuskan-ide-pengobatan-kanker-payudara-berbasis-daun-pepaya/
124,https://www.unair.ac.id/inovasi-dosen-fpk-unair-manfaatkan-limbah-pt-ajinomoto-sebagai-pakan-ikan/
125,https://www.unair.ac.id/inovasi-dosen-fpk-unair-manfaatkan-limbah-pt-ajinomoto-sebagai-pakan-ikan/
126,https://www.unair.ac.id/inovasi-dosen-fpk-unair-manfaatkan-limbah-pt-ajinomoto-sebagai-pakan-ikan/
127,https://www.unair.ac.id/peneliti-fkm-unair-kembangkan-formula-fermentasi-bawang-untuk-lansia-pasca-vaksinasi/
128,https://www.unair.ac.id/peneliti-fkm-unair-kembangkan-formula-fermentasi-bawang-untuk-lansia-pasca-vaksinasi/
129,https://www.unair.ac.id/peneliti-fkm-unair-kembangkan-formula-fermentasi-bawang-untuk-lansia-pasca-vaksinasi/
130,https://www.unair.ac.id/category/inovasi/
131,https://www.unair.ac.id/category/foto/
132,https://www.unair.ac.id/ketua-kpk-kunjungi-unair/
133,https://www.unair.ac.id/ketua-kpk-kunjungi-unair/
134,https://www.unair.ac.id/ketua-kpk-kunjungi-unair/
135,https://www.unair.ac.id/unair-terima-kunjungan-dubes-pakistan/
136,https://www.unair.ac.id/unair-terima-kunjungan-dubes-pakistan/
137,https://www.unair.ac.id/unair-terima-kunjungan-dubes-pakistan/
138,https://www.unair.ac.id/mou-unair-pemkab-banyuwangi-perkuat-kerjasama-bidang-pendidikan/
139,https://www.unair.ac.id/mou-unair-pemkab-banyuwangi-perkuat-kerjasama-bidang-pendidikan/
140,https://www.unair.ac.id/mou-unair-pemkab-banyuwangi-perkuat-kerjasama-bidang-pendidikan/
141,https://www.unair.ac.id/category/foto/
142,https://www.unair.ac.id/category/artikel-ilmiah-pop/
143,https://www.unair.ac.id/efek-penggunaan-chlorhexidine-dan-povidone-iodine-terhadap-viral-load-sars-cov-2/
144,https://www.unair.ac.id/efek-penggunaan-chlorhexidine-dan-povidone-iodine-terhadap-viral-load-sars-cov-2/
145,https://www.unair.ac.id/efek-penggunaan-chlorhexidine-dan-povidone-iodine-terhadap-viral-load-sars-cov-2/
146,https://www.unair.ac.id/scaffold-nanofiber-berbasis-polylacticacid-polycaprolactone-untuk-cedera-anterior-cruciate-ligament/
147,https://www.unair.ac.id/scaffold-nanofiber-berbasis-polylacticacid-polycaprolactone-untuk-cedera-anterior-cruciate-ligament/
148,https://www.unair.ac.id/scaffold-nanofiber-berbasis-polylacticacid-polycaprolactone-untuk-cedera-anterior-cruciate-ligament/
149,https://www.unair.ac.id/autograf-tulang-rawan-dalam-penanganan-kasus-ameloblastoma-pasca-hemi-mandibulektomi/
150,https://www.unair.ac.id/autograf-tulang-rawan-dalam-penanganan-kasus-ameloblastoma-pasca-hemi-mandibulektomi/
151,https://www.unair.ac.id/autograf-tulang-rawan-dalam-penanganan-kasus-ameloblastoma-pasca-hemi-mandibulektomi/
152,https://www.unair.ac.id/category/artikel-ilmiah-pop/
153,https://www.unair.ac.id/berita-fakultas/
154,https://www.unair.ac.id/post_fetcher/fakultas-kedokteran-mengenal-kanker-kepala-leher-yang-disebabkan-oleh-virus-hpv/
155,https://www.unair.ac.id/post_fetcher/fakultas-kedokteran-mengenal-kanker-kepala-leher-yang-disebabkan-oleh-virus-hpv/
156,https://www.unair.ac.id/post_fetcher/fakultas-kedokteran-mengenal-kanker-kepala-leher-yang-disebabkan-oleh-virus-hpv/
157,https://www.unair.ac.id/post_fetcher/fakultas-kedokteran-mahasiswa-belanda-sebar-bibit-ikan-untuk-cegah-malaria-di-banyuwangi/
158,https://www.unair.ac.id/post_fetcher/fakultas-kedokteran-mahasiswa-belanda-sebar-bibit-ikan-untuk-cegah-malaria-di-banyuwangi/
159,https://www.unair.ac.id/post_fetcher/fakultas-kedokteran-mahasiswa-belanda-sebar-bibit-ikan-untuk-cegah-malaria-di-banyuwangi/
160,https://www.unair.ac.id/post_fetcher/fakultas-kedokteran-departemen-tht-kl-kukuhkan-ahli-onkologi-tht-dari-malaysia-jadi-adjunct-professor/
161,https://www.unair.ac.id/post_fetcher/fakultas-kedokteran-departemen-tht-kl-kukuhkan-ahli-onkologi-tht-dari-malaysia-jadi-adjunct-professor/
162,https://www.unair.ac.id/post_fetcher/fakultas-kedokteran-departemen-tht-kl-kukuhkan-ahli-onkologi-tht-dari-malaysia-jadi-adjunct-professor/
163,https://www.unair.ac.id/berita-fakultas
164,https://www.unair.ac.id/category/mahasiswa
165,https://www.unair.ac.id/mawapres-fk-unair-sebulan-borong-4-gelar-juara/
166,https://www.unair.ac.id/mawapres-fk-unair-sebulan-borong-4-gelar-juara/
167,https://www.unair.ac.id/mawapres-fk-unair-sebulan-borong-4-gelar-juara/
168,https://www.unair.ac.id/kajian-sejarah-pers-indonesia-bawa-mahasiswa-fib-sabet-juara-3-lktin-di-ui/
169,https://www.unair.ac.id/kajian-sejarah-pers-indonesia-bawa-mahasiswa-fib-sabet-juara-3-lktin-di-ui/
170,https://www.unair.ac.id/kajian-sejarah-pers-indonesia-bawa-mahasiswa-fib-sabet-juara-3-lktin-di-ui/
171,https://www.unair.ac.id/gelisah-penggunaan-plastik-di-kereta-api-mahasiswa-unair-temukan-gerakan-anti-plastik/
172,https://www.unair.ac.id/gelisah-penggunaan-plastik-di-kereta-api-mahasiswa-unair-temukan-gerakan-anti-plastik/
173,https://www.unair.ac.id/gelisah-penggunaan-plastik-di-kereta-api-mahasiswa-unair-temukan-gerakan-anti-plastik/
174,https://www.unair.ac.id/category/mahasiswa
175,https://www.unair.ac.id/category/alumni
176,https://www.unair.ac.id/gowes-bareng-gubernur-dan-alumni-unair-ramaikan-world-heart-day/
177,https://www.unair.ac.id/gowes-bareng-gubernur-dan-alumni-unair-ramaikan-world-heart-day/
178,https://www.unair.ac.id/gowes-bareng-gubernur-dan-alumni-unair-ramaikan-world-heart-day/
179,https://www.unair.ac.id/khofifah-resmi-mulai-semarak-peringatan-hut-emas-ika-unair/
180,https://www.unair.ac.id/khofifah-resmi-mulai-semarak-peringatan-hut-emas-ika-unair/
181,https://www.unair.ac.id/khofifah-resmi-mulai-semarak-peringatan-hut-emas-ika-unair/
182,https://www.unair.ac.id/alumni-unair-siap-luncurkan-aplikasi-untuk-petani-walet/
183,https://www.unair.ac.id/alumni-unair-siap-luncurkan-aplikasi-untuk-petani-walet/
184,https://www.unair.ac.id/alumni-unair-siap-luncurkan-aplikasi-untuk-petani-walet/
185,https://www.unair.ac.id/news/2/
186,https://www.unair.ac.id/category/alumni
187,https://www.unair.ac.id/category/berita/
188,https://www.unair.ac.id/swasembada-daging-sapi-perlu-peran-perguruan-tinggi/
189,https://www.unair.ac.id/swasembada-daging-sapi-perlu-peran-perguruan-tinggi/
190,https://www.unair.ac.id/swasembada-daging-sapi-perlu-peran-perguruan-tinggi/
191,https://www.unair.ac.id/mahasiswa-fakultas-keperawatan-unair-sabet-juara-3-di-ajang-lkti/
192,https://www.unair.ac.id/mahasiswa-fakultas-keperawatan-unair-sabet-juara-3-di-ajang-lkti/
193,https://www.unair.ac.id/mahasiswa-fakultas-keperawatan-unair-sabet-juara-3-di-ajang-lkti/
194,https://www.unair.ac.id/sdgs-center-unair-gelar-workshop-peningkatan-reputasi-dan-kualitas-impact/
195,https://www.unair.ac.id/sdgs-center-unair-gelar-workshop-peningkatan-reputasi-dan-kualitas-impact/
196,https://www.unair.ac.id/sdgs-center-unair-gelar-workshop-peningkatan-reputasi-dan-kualitas-impact/
197,https://www.unair.ac.id/analisis-genetik-21-lokus-short-tandem-repeats-pada-penduduk-minangkabau/
198,https://www.unair.ac.id/analisis-genetik-21-lokus-short-tandem-repeats-pada-penduduk-minangkabau/
199,https://www.unair.ac.id/analisis-genetik-21-lokus-short-tandem-repeats-pada-penduduk-minangkabau/
200,https://www.unair.ac.id/profil-bakteri-dan-antibiogram-pasien-infeksi-saluran-kemih-usia-di-atas-18-tahun/
201,https://www.unair.ac.id/profil-bakteri-dan-antibiogram-pasien-infeksi-saluran-kemih-usia-di-atas-18-tahun/
202,https://www.unair.ac.id/profil-bakteri-dan-antibiogram-pasien-infeksi-saluran-kemih-usia-di-atas-18-tahun/
203,https://www.unair.ac.id/atasi-stunting-guru-besar-fk-unair-berikan-penyuluhan-di-puskesmas-arosbaya/
204,https://www.unair.ac.id/atasi-stunting-guru-besar-fk-unair-berikan-penyuluhan-di-puskesmas-arosbaya/
205,https://www.unair.ac.id/atasi-stunting-guru-besar-fk-unair-berikan-penyuluhan-di-puskesmas-arosbaya/
206,https://www.unair.ac.id/mahasiswa-fisip-unair-sabet-juara-i-lomba-esai-nasional-bertema-ekonomi/
207,https://www.unair.ac.id/mahasiswa-fisip-unair-sabet-juara-i-lomba-esai-nasional-bertema-ekonomi/
208,https://www.unair.ac.id/mahasiswa-fisip-unair-sabet-juara-i-lomba-esai-nasional-bertema-ekonomi/
209,https://www.unair.ac.id/lobster-pasir-dari-kondang-merak-malang-selatan/
210,https://www.unair.ac.id/lobster-pasir-dari-kondang-merak-malang-selatan/
211,https://www.unair.ac.id/lobster-pasir-dari-kondang-merak-malang-selatan/
212,https://www.unair.ac.id/mahasiswa-unair-wakili-kbri-rumania-hadiri-brasov-multicultural-day/
213,https://www.unair.ac.id/mahasiswa-unair-wakili-kbri-rumania-hadiri-brasov-multicultural-day/
214,https://www.unair.ac.id/mahasiswa-unair-wakili-kbri-rumania-hadiri-brasov-multicultural-day/
215,https://www.unair.ac.id/unair-posisi-kedua-di-indonesia-versi-the-wur/
216,https://www.unair.ac.id/unair-posisi-kedua-di-indonesia-versi-the-wur/
217,https://www.unair.ac.id/unair-posisi-kedua-di-indonesia-versi-the-wur/
218,https://www.unair.ac.id/menolak-lupa-fh-unair-bahas-pelanggaran-ham-65/
219,https://www.unair.ac.id/menolak-lupa-fh-unair-bahas-pelanggaran-ham-65/
220,https://www.unair.ac.id/menolak-lupa-fh-unair-bahas-pelanggaran-ham-65/
221,https://www.unair.ac.id/motivasi-kerja-sebagai-salah-satu-penentu-kedisplinan-kerja/
222,https://www.unair.ac.id/motivasi-kerja-sebagai-salah-satu-penentu-kedisplinan-kerja/
223,https://www.unair.ac.id/motivasi-kerja-sebagai-salah-satu-penentu-kedisplinan-kerja/
224,https://www.unair.ac.id/category/berita/
225,https://www.facebook.com/universitasairlangga/
226,https://twitter.com/Unair_Official?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
227,https://www.youtube.com/channel/UCUYwloXmWyNZplsqg4MVERw
228,https://www.instagram.com/univ_airlangga/
229,https://api.whatsapp.com/send/?phone=%2B6285850356929&text&type=phone_number&app_absent=0
230,https://www.unair.ac.id/tentang-unair-2/
231,https://www.unair.ac.id/tentang-unair-sejarah/
232,https://www.unair.ac.id/tentang-unair-visi-dan-misi/
233,https://www.unair.ac.id/lain-lain-peta-kampus/
234,https://www.unair.ac.id/pendidikan/
235,https://ppmb.unair.ac.id/
236,https://www.unair.ac.id/lain-lain-kalender-akademik/
237,https://www.unair.ac.id/daftar-fakultas/
238,https://www.unair.ac.id/penelitian/
239,https://scholar.unair.ac.id/
240,https://www.unair.ac.id/pengabdian-2/
241,https://www.ksatriaairlangga.org/id/home/
242,http://covid19.unair.ac.id
243,https://www.unair.ac.id/download-center/
244,https://wa.me/6282130040061
245,https://www.facebook.com/universitasairlangga
246,https://www.instagram.com/univ_airlangga/
247,https://www.youtube.com/channel/UCUYwloXmWyNZplsqg4MVERw
248,https://www.tiktok.com/@unair_official
249,https://twitter.com/unair_official
250,https://ftmm.unair.ac.id/muhammad-noor-fakhruzzaman-s-kom-m-sc/
251,#
252,#
253,https://www.unair.ac.id/en/unair-news/
254,https://www.unair.ac.id/tentang-unair-selayang-pandang/
255,https://www.unair.ac.id/pendidikan/
256,https://www.unair.ac.id/penelitian/
257,https://www.unair.ac.id/pengabdian-2/
258,https://www.unair.ac.id/mahasiswa/
259,https://ppmb.unair.ac.id
260,https://www.unair.ac.id/dosen-staf/
261,http://alumni.unair.ac.id
262,https://www.unair.ac.id/orangtua/
263,https://www.unair.ac.id/news/
264,http://ppid.unair.ac.id
265,http://cybercampus.unair.ac.id
266,https://www.unair.ac.id/tentang-unair-selayang-pandang/
267,https://www.unair.ac.id/pendidikan/
268,https://www.unair.ac.id/penelitian/
269,https://www.unair.ac.id/pengabdian-2/
270,https://www.unair.ac.id/mahasiswa/
271,https://ppmb.unair.ac.id
272,https://www.unair.ac.id/dosen-staf/
273,http://alumni.unair.ac.id
274,https://www.unair.ac.id/orangtua/
275,https://www.unair.ac.id/news/
276,http://ppid.unair.ac.id
277,http://cybercampus.unair.ac.id
278,https://web.facebook.com/universitasairlangga?_rdc=1&_rdr
279,https://www.instagram.com/univ_airlangga/
280,https://twitter.com/unair_official
281,https://www.youtube.com/channel/UCUYwloXmWyNZplsqg4MVERw
282,https://www.unair.ac.id/tentang-unair-selayang-pandang/
283,https://www.unair.ac.id/tentang-unair-sejarah/
284,https://www.unair.ac.id/tentang-unair-visi-dan-misi/
285,https://www.unair.ac.id/manajemen-pimpinan-unair/
286,https://www.unair.ac.id/manajemen-pimpinan-fakultas-sekolah/
287,https://www.unair.ac.id/pendidikan/
288,https://www.unair.ac.id/pendidikan/
289,https://www.unair.ac.id/daftar-fakultas/
290,https://www.unair.ac.id/penelitian/
291,https://scholar.unair.ac.id/
292,https://www.unair.ac.id/pengabdian-2/
293,https://www.unair.ac.id/dosen-staf/
294,https://www.unair.ac.id/daftar-fakultas/
295,https://www.unair.ac.id/mahasiswa/
296,https://www.unair.ac.id/?page_id=4708
297,http://ppmb.unair.ac.id
298,https://www.unair.ac.id/orangtua/
299,http://alumni.unair.ac.id
300,https://www.unair.ac.id/news/
301,http://covid19.unair.ac.id
302,http://ppid.unair.ac.id
303,https://www.unair.ac.id/download-center/
304,http://cybercampus.unair.ac.id
305,https://mbkm.unair.ac.id/
